time, duration, fail, quit, player, pc, song, cuts, difficulty, score, no fail, disappearing, ghost, faster song
03:19, 126s, True, False, UNKNOWN, #1, #unknown, 554 / 578, #unknown, 0, False, False, False, False
03:17, 185s, False, False, KUNG, #1, Natural, 770 / 782, ExpertPlus, 598567, False, False, False, False
03:13, 252s, False, False, KUNG, #1, BadLiar, 901 / 930, ExpertPlus, 658147, False, False, False, False
03:09, 215s, True, False, UNKNOWN, #1, #unknown, 788 / 829, #unknown, 0, False, False, False, True
03:06, 102s, True, False, UNKNOWN, #1, #unknown, 378 / 403, #unknown, 0, False, False, False, True
01:32, 211s, True, False, UNKNOWN, #1, #unknown, 1049 / 1104, #unknown, 0, False, False, False, False
01:29, 52s, True, False, UNKNOWN, #1, #unknown, 163 / 181, #unknown, 0, False, False, False, False
01:28, 31s, True, False, UNKNOWN, #1, #unknown, 48 / 55, #unknown, 0, False, False, False, False
01:27, 31s, True, False, UNKNOWN, #1, #unknown, 48 / 55, #unknown, 0, False, False, False, False
01:26, 229s, False, False, KUNG, #1, HighHopes, 848 / 883, ExpertPlus, 645387, False, False, False, True
01:23, 168s, False, False, KUNG, #1, TheGreatestShow, 696 / 714, ExpertPlus, 519057, False, False, False, False
01:20, 176s, False, False, KUNG, #1, Victorious, 679 / 711, ExpertPlus, 237595, True, False, False, False
01:17, 25s, True, False, UNKNOWN, #1, #unknown, 66 / 76, #unknown, 0, False, False, False, False
01:17, 14s, False, True, UNKNOWN, #1, #unknown, 32 / 33, #unknown, 0, False, False, False, False
01:16, 30s, False, True, UNKNOWN, #1, #unknown, 97 / 100, #unknown, 0, False, False, False, False
01:14, 61s, True, False, UNKNOWN, #1, #unknown, 302 / 325, #unknown, 0, False, False, False, False
01:11, 120s, True, False, UNKNOWN, #1, #unknown, 538 / 571, #unknown, 0, False, False, False, False
01:09, 3s, False, True, UNKNOWN, #1, #unknown, 7 / 8, #unknown, 0, False, False, False, False
01:09, 69s, True, False, UNKNOWN, #1, #unknown, 294 / 312, #unknown, 0, False, False, False, False
01:07, 30s, True, False, UNKNOWN, #1, #unknown, 114 / 126, #unknown, 0, False, False, False, False
